Neighbourhood,Neighborhood Latitude,Neighborhood Longitude,Venue_ID,Venue,Venue Latitude,Venue Longitude,Distance,Venue Category
Parkwoods,43.7532586,-79.3296565,4e8d9dcdd5fbbbb6b3003c7b,Brookbanks Park,43.751976046055574,-79.33214044722958,245,Park
Parkwoods,43.7532586,-79.3296565,4e42684718a8627fce453c01,TTC stop #8380,43.752672,-79.326351,273,Bus Stop
Parkwoods,43.7532586,-79.3296565,5e111e7e9316a70007fb9653,Subway,43.76033437476135,-79.32690570910961,818,Sandwich Place
Parkwoods,43.7532586,-79.3296565,55bbdfb9498e5996dd9d4038,Dollarama,43.760341,-79.325519,855,Discount Store
Parkwoods,43.7532586,-79.3296565,4b26adc3f964a5205f7f24e3,Food Basics,43.76086487186778,-79.326015195595,895,Supermarket
Parkwoods,43.7532586,-79.3296565,58a8dcaa6119f47b9a94dc05,A&W,43.760643076161315,-79.3268649067081,852,Fast Food Restaurant
Parkwoods,43.7532586,-79.3296565,4bda3d363904a59320d5459e,Joey,43.753441,-79.32164,644,Burger Joint
Parkwoods,43.7532586,-79.3296565,535fddb1498e03814e03968f,GTA Restoration | Emergency Water Damage Plumber Toronto Mold Remvoal Inc.,43.7535666482373,-79.35130834579466,1741,Construction & Landscaping
Parkwoods,43.7532586,-79.3296565,4c729f4aad69b60c81ee83b9,Allwyn's,43.76099961550843,-79.32547804608039,924,Caribbean Restaurant
Parkwoods,43.7532586,-79.3296565,4b8991cbf964a520814232e3,Allwyn's Bakery,43.75984035203157,-79.32471879917513,833,Caribbean Restaurant
Parkwoods,43.7532586,-79.3296565,57e286f2498e43d84d92d34a,Tim Hortons,43.76066827030228,-79.32636763515987,866,Café
Parkwoods,43.7532586,-79.3296565,4cd43dd34ebba0907ccea8d6,CAPREIT Apartments,43.75392,-79.3224,588,Residential Building (Apartment / Condo)
Parkwoods,43.7532586,-79.3296565,4de6679163658eada081359b,CAPREIT Apartments,43.75318,-79.33897,748,Residential Building (Apartment / Condo)
Parkwoods,43.7532586,-79.3296565,54ee51de498e7a6fbe4f00a7,Yorkmills Wellness & Spa,43.75680029671985,-79.32534600358498,524,Spa
Parkwoods,43.7532586,-79.3296565,57e288cb498ef9d915b3b58f,Tim Hortons,43.760669785183715,-79.32658927364537,861,Coffee Shop
Parkwoods,43.7532586,-79.3296565,4b5f7253f964a520d7ba29e3,Pizza Pizza,43.76023098701761,-79.32566642761229,839,Pizza Place
Parkwoods,43.7532586,-79.3296565,5057a346e4b09e4d63d45396,8th Don Mills Cub Pack,43.748055496934626,-79.3367101421665,810,Other Great Outdoors
Parkwoods,43.7532586,-79.3296565,4ebdd5a077c885a64d8b3b07,DVP at York Mills,43.758898765048286,-79.3340989154166,722,Road
Parkwoods,43.7532586,-79.3296565,4c422e48e26920a1a4ad5fe7,Shoppers Drug Mart,43.76085733239677,-79.32496051573521,926,Pharmacy
Parkwoods,43.7532586,-79.3296565,4e039defd22d4cebf370894a,Cassandra Public School,43.7482913687093,-79.3288890789838,556,School
Parkwoods,43.7532586,-79.3296565,4b85b9e4f964a520586f31e3,Three Valleys Public School,43.750594734879606,-79.33734069318756,685,School
Parkwoods,43.7532586,-79.3296565,4bafa285f964a5203a123ce3,Bruno's valu-mart,43.746143,-79.32463,889,Grocery Store
Parkwoods,43.7532586,-79.3296565,5058f3f7e4b05ea4160c1376,8th Don Mills Beaver Colony,43.75071911519816,-79.33762397563808,700,Other Great Outdoors
Parkwoods,43.7532586,-79.3296565,51d85ca6498ea979a4d0f0c7,Toronto International College,43.750530886579504,-79.33736660482928,690,College Communications Building
Parkwoods,43.7532586,-79.3296565,4f5930bfe4b030058495a752,Parkwoods Village Centre,43.760735,-79.324873,916,Shopping Mall
Parkwoods,43.7532586,-79.3296565,5c141c8f396de0002cb02757,TTC Bus 995 York Mills Express,43.76041695791917,-79.32888507843018,799,Bus Line
Parkwoods,43.7532586,-79.3296565,4b607ac2f964a5208ae829e3,Don Valley Parkway,43.74438425531688,-79.33332873621569,1031,Road
